,Item Name,Date,Price
75,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-17,73.0
76,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-17,93.0
77,Other-Dambulla-Wholesale-Coconut ,2015-03-17,48.0
78,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-18,98.0
79,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-18,28.0
80,Other-Dambulla-Wholesale-Coconut ,2015-03-18,48.0
81,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-18,83.0
82,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-18,218.0
83,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-18,65.0
84,Vegetable-Dambulla-Wholesale-Beans ,2015-03-18,88.0
85,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-18,53.0
86,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-18,43.0
87,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-18,43.0
88,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-18,80.0
89,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-18,33.0
90,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-19,28.0
91,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-19,218.0
92,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-19,88.0
93,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-19,83.0
94,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-19,45.0
95,Other-Dambulla-Wholesale-Coconut ,2015-03-19,48.0
96,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-19,48.0
97,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-19,40.0
98,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-19,25.0
99,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-19,75.0
100,Vegetable-Dambulla-Wholesale-Beans ,2015-03-19,80.0
101,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-19,33.0
102,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-20,215.0
103,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-20,90.0
104,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-20,78.0
105,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-20,65.0
106,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-20,28.0
107,Other-Dambulla-Wholesale-Coconut ,2015-03-20,48.0
108,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-20,38.0
109,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-20,40.0
110,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-20,35.0
111,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-20,75.0
112,Vegetable-Dambulla-Wholesale-Beans ,2015-03-20,85.0
113,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-20,55.0
114,Other-Dambulla-Wholesale-Coconut ,2015-03-24,48.0
115,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-24,218.0
116,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-24,98.0
117,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-24,72.0
118,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-24,55.0
119,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-24,28.0
120,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-24,48.0
121,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-24,65.0
122,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-24,35.0
123,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-24,110.0
124,Vegetable-Dambulla-Wholesale-Beans ,2015-03-24,80.0
125,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-24,33.0
126,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-25,68.0
127,Other-Dambulla-Wholesale-Coconut ,2015-03-25,47.0
128,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-25,216.0
129,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-25,95.0
130,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-25,23.0
131,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-25,58.0
132,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-25,38.0
133,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-25,58.0
134,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-25,58.0
135,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-25,33.0
136,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-25,115.0
137,Vegetable-Dambulla-Wholesale-Beans ,2015-03-25,70.0
138,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-26,218.0
139,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-26,95.0
140,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-26,62.0
141,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-26,65.0
142,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-26,23.0
143,Other-Dambulla-Wholesale-Coconut ,2015-03-26,49.0
144,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-26,30.0
145,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-26,63.0
146,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-26,30.0
147,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-26,125.0
148,Vegetable-Dambulla-Wholesale-Beans ,2015-03-26,53.0
149,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-26,38.0
150,Other-Dambulla-Wholesale-Coconut ,2015-03-27,49.0
151,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-27,214.0
152,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-27,93.0
153,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-27,59.0
154,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-27,63.0
155,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-27,21.0
156,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-27,30.0
157,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-27,50.0
158,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-27,30.0
159,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-27,115.0
160,Vegetable-Dambulla-Wholesale-Beans ,2015-03-27,48.0
161,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-27,28.0
162,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-31,54.0
163,Other-Dambulla-Wholesale-Coconut ,2015-03-31,49.0
164,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-31,215.0
165,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-31,83.0
166,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-31,55.0
167,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-31,13.0
168,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-31,25.0
169,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-31,38.0
170,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-31,35.0
171,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-31,110.0
172,Vegetable-Dambulla-Wholesale-Beans ,2015-03-31,43.0
173,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-31,18.0
174,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-01,215.0
175,Other-Dambulla-Wholesale-Coconut ,2015-04-01,47.0
176,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-01,90.0
177,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-01,54.0
178,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-01,65.0
179,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-01,15.0
180,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-01,23.0
181,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-01,20.0
182,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-01,38.0
183,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-01,30.0
184,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-01,95.0
185,Vegetable-Dambulla-Wholesale-Beans ,2015-04-01,35.0
186,Other-Dambulla-Wholesale-Coconut ,2015-04-02,49
187,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-02,215
188,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-02,83
189,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-02,60
190,Other-Dambulla-Wholesale-Big Onions (local) ,2015-04-02,-
191,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-02,63
192,Vegetable-Dambulla-Wholesale-Beans ,2015-04-02,35
193,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-02,23
194,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-02,15
195,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-02,30
196,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-02,33
197,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-02,98
198,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-02,11
199,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-06,65
200,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-06,93
201,Other-Dambulla-Wholesale-Big Onions (local) ,2015-04-06,-
202,Other-Dambulla-Wholesale-Coconut ,2015-04-06,46
203,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-06,215
204,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-06,65
205,Vegetable-Dambulla-Wholesale-Beans ,2015-04-06,40
206,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-06,20
207,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-06,18
208,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-06,38
209,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-06,28
210,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-06,95
211,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-06,15
212,Other-Dambulla-Wholesale-Coconut ,2015-04-07,49.0
213,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-07,215.0
214,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-07,93.0
215,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-07,63.0
216,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-07,60.0
217,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-07,13.0
218,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-07,18.0
219,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-07,23.0
220,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-07,35.0
221,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-07,28.0
222,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-07,110.0
223,Vegetable-Dambulla-Wholesale-Beans ,2015-04-07,38.0
224,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-08,215
225,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-08,80
226,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-08,58
227,Other-Dambulla-Wholesale-Big Onions (local) ,2015-04-08,-
228,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-08,68
229,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-08,13
